epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
67,1777.11,0.89977,2.02064,0.15372,0.27462,0.03638,3.92108,1,0.99424,0.995,0.74102,1,0.99424,0.995,0.5629,1.00168,1.5764,0.15772,0.27778,0.04308,0,0.0006932,0.0006932,0.0006932
68,1806.34,0.89131,1.84951,0.15117,0.27625,0.03677,3.88432,0.9181,0.98925,0.98526,0.75365,0.9181,0.98925,0.98526,0.62585,0.89813,1.2685,0.13202,0.38091,0.03683,0,0.0006734,0.0006734,0.0006734
69,1832.43,0.85696,1.80597,0.15684,0.2736,0.03423,3.69648,1,0.99491,0.995,0.72526,0.94093,0.9371,0.94312,0.59403,1.09269,1.35403,0.13501,0.28988,0.04741,0,0.0006536,0.0006536,0.0006536
70,1858.18,0.90657,1.83872,0.15355,0.27243,0.03581,3.72743,0.93428,1,0.98859,0.72668,0.87823,0.94118,0.87671,0.5855,1.00855,1.31237,0.13613,0.33357,0.04278,0,0.0006338,0.0006338,0.0006338
71,1885.01,0.84077,1.76287,0.1439,0.25959,0.0342,3.83797,0.97122,0.99266,0.99271,0.77554,0.94245,0.9635,0.94502,0.62133,0.89214,1.18197,0.13709,0.27976,0.03764,0,0.000614,0.000614,0.000614
72,1911.48,0.84696,1.63568,0.14574,0.28224,0.0339,3.48353,0.94986,0.97059,0.9876,0.74343,0.94986,0.97059,0.9876,0.63504,0.98592,1.14853,0.1427,0.33189,0.04208,0,0.0005942,0.0005942,0.0005942
73,1937.26,0.84112,1.89833,0.14785,0.262,0.03369,3.81158,0.89412,1,0.98851,0.72345,0.89412,1,0.98851,0.61708,1.00348,1.40226,0.15281,0.3527,0.04234,0,0.0005744,0.0005744,0.0005744
74,1963.14,0.88909,1.78191,0.14676,0.25643,0.03508,3.56468,0.97136,0.99746,0.99186,0.70778,0.97136,0.99746,0.99186,0.61433,1.14362,1.50745,0.17707,0.29461,0.04975,0,0.0005546,0.0005546,0.0005546
75,1988.98,0.87415,1.81081,0.15264,0.25305,0.03454,3.45388,0.9694,0.97059,0.99112,0.70975,0.95589,0.88235,0.91635,0.53284,1.06053,1.66387,0.19087,0.324,0.04533,0,0.0005348,0.0005348,0.0005348
76,2014.93,0.89883,1.63974,0.15842,0.23753,0.03548,3.31333,0.99911,1,0.995,0.72982,0.96961,0.97059,0.94882,0.54629,1.02983,1.66961,0.17633,0.24889,0.0445,0,0.000515,0.000515,0.000515
77,2041.19,0.85661,1.52599,0.15424,0.23891,0.03376,3.00192,0.99741,1,0.995,0.74918,0.99741,1,0.995,0.62357,0.96417,1.33997,0.1677,0.23558,0.0416,0,0.0004952,0.0004952,0.0004952
78,2067.56,0.8514,1.60651,0.14147,0.23941,0.034,3.39999,1,0.99563,0.995,0.72717,0.97047,0.96665,0.98759,0.61738,1.0648,1.46374,0.1723,0.27773,0.0465,0,0.0004754,0.0004754,0.0004754
79,2093.17,0.82253,1.52553,0.15004,0.22938,0.03319,3.30901,1,0.98993,0.995,0.73579,1,0.98993,0.995,0.5926,1.04934,1.47622,0.16675,0.28116,0.04554,0,0.0004556,0.0004556,0.0004556
80,2119.02,0.87085,1.62666,0.14933,0.2433,0.03493,3.33954,0.96912,1,0.99443,0.75074,0.96912,1,0.99443,0.65821,0.96993,1.31155,0.15453,0.25232,0.04143,0,0.0004358,0.0004358,0.0004358
81,2146.38,0.84388,1.60919,0.14094,0.23275,0.03366,3.14095,1,0.93978,0.99389,0.74749,1,0.93978,0.99389,0.60431,0.95285,1.40068,0.16363,0.2709,0.0407,0,0.000416,0.000416,0.000416
82,2176.3,0.84027,1.61566,0.13985,0.2317,0.03317,3.13241,1,0.96692,0.99443,0.74095,1,0.96692,0.99443,0.57232,0.9902,1.47979,0.15057,0.26773,0.04279,0,0.0003962,0.0003962,0.0003962
83,2205.91,0.82219,1.3864,0.14857,0.23471,0.03243,2.88008,0.99304,0.94118,0.99222,0.72721,0.99304,0.94118,0.99222,0.67517,1.05531,1.18777,0.15372,0.32872,0.04532,0,0.0003764,0.0003764,0.0003764
84,2243.66,0.86202,1.32793,0.14701,0.25241,0.03475,2.7627,0.99871,0.97059,0.99289,0.73698,0.99871,0.97059,0.99289,0.65377,0.99979,1.17053,0.15406,0.3077,0.04315,0,0.0003566,0.0003566,0.0003566
85,2267.7,0.81911,1.41074,0.13933,0.23562,0.03244,2.82596,0.99842,1,0.995,0.74462,0.99842,1,0.995,0.67107,1.00288,1.10397,0.15864,0.25262,0.04354,0,0.0003368,0.0003368,0.0003368
86,2292.68,0.79918,1.34742,0.14601,0.2555,0.03162,2.66107,1,0.99159,0.995,0.74289,1,0.99159,0.995,0.66875,1.01328,1.18599,0.16343,0.2515,0.04388,0,0.000317,0.000317,0.000317
87,2316.86,0.83002,1.36015,0.14358,0.25021,0.03318,2.75905,0.9714,0.99885,0.99443,0.75663,0.9714,0.99885,0.99443,0.67054,0.96444,1.12882,0.161,0.25359,0.04141,0,0.0002972,0.0002972,0.0002972
88,2341.45,0.86391,1.37361,0.14694,0.25386,0.03486,2.73132,1,0.96751,0.99389,0.72712,1,0.96751,0.99389,0.65336,1.03729,1.23293,0.16041,0.27709,0.04538,0,0.0002774,0.0002774,0.0002774
89,2366.72,0.81789,1.25364,0.14123,0.23307,0.03349,2.5521,1,0.99732,0.995,0.74879,1,0.99732,0.995,0.68537,0.97645,1.16807,0.15088,0.24257,0.04242,0,0.0002576,0.0002576,0.0002576
90,2391.12,0.82944,1.38428,0.13625,0.24186,0.03318,2.60602,1,0.99625,0.995,0.75466,1,0.99625,0.995,0.69106,0.94182,1.10818,0.15251,0.23321,0.04026,0,0.0002378,0.0002378,0.0002378
91,2416.32,0.83076,1.32875,0.14,0.24455,0.03315,2.65688,0.99837,1,0.995,0.76501,0.99837,1,0.995,0.68389,0.91534,1.10625,0.15194,0.21841,0.03891,0,0.000218,0.000218,0.000218
92,2445.9,0.82796,1.32457,0.13826,0.25151,0.03302,2.70613,0.99181,0.94118,0.99095,0.76084,0.99181,0.94118,0.99095,0.62842,0.90975,1.24687,0.15198,0.28904,0.03896,0,0.0001982,0.0001982,0.0001982
93,2477.54,0.83478,1.27151,0.144,0.25093,0.03324,2.456,0.99878,1,0.995,0.7462,0.99878,1,0.995,0.68841,0.99292,1.09666,0.14828,0.24119,0.04283,0,0.0001784,0.0001784,0.0001784
94,2534.53,0.78766,1.27146,0.1449,0.22645,0.03111,2.50849,1,0.99881,0.995,0.74711,1,0.99881,0.995,0.6936,1.00268,1.06174,0.1531,0.24763,0.04321,0,0.0001586,0.0001586,0.0001586
95,2585.96,0.79939,1.23646,0.14237,0.22908,0.03152,2.40767,0.98882,1,0.995,0.76906,0.98882,1,0.995,0.65918,0.93731,1.1251,0.15777,0.26071,0.03997,0,0.0001388,0.0001388,0.0001388
96,2625.94,0.80463,1.24517,0.14315,0.2363,0.03177,2.48244,0.9985,1,0.995,0.76627,0.9985,1,0.995,0.70383,0.9217,0.98745,0.15139,0.24131,0.03934,0,0.000119,0.000119,0.000119
97,2657.64,0.81728,1.26012,0.1426,0.22844,0.03245,2.36254,0.99737,1,0.995,0.76312,0.99737,1,0.995,0.70129,0.92943,1.01084,0.14754,0.23804,0.03954,0,9.92e-05,9.92e-05,9.92e-05
98,2696.73,0.78752,1.22235,0.13744,0.22532,0.03107,2.44126,0.99848,0.97059,0.99443,0.75958,0.99848,0.97059,0.99443,0.70205,0.9275,0.99923,0.14562,0.26452,0.03961,0,7.94e-05,7.94e-05,7.94e-05
99,2730.33,0.80955,1.13372,0.14592,0.23073,0.03146,2.07301,0.96741,1,0.99357,0.76586,0.96741,1,0.99357,0.68452,0.92525,1.0219,0.14915,0.26682,0.03964,0,5.96e-05,5.96e-05,5.96e-05
100,2776.61,0.81654,1.17021,0.13052,0.23567,0.03275,2.35,0.99761,1,0.995,0.77208,0.99761,1,0.995,0.68122,0.92264,1.05278,0.14981,0.23261,0.03954,0,3.98e-05,3.98e-05,3.98e-05
